PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category,text,Predicted_Cancer_Type
PREDISPOSES,Account number:Identifier:Point in time:^Patient:Nominal,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Account number:Identifier:Point in time:^Patient:Nominal Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,KIF15 gene|KIF15,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,KIF15 gene|KIF15 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,bisphenol A,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,bisphenol A Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,D Vitamin,Noninfiltrating Intraductal Carcinoma,0.0109890109890109,Female Breast Cancer,Food,D Vitamin Noninfiltrating Intraductal Carcinoma,Female Breast Cancer
PREDISPOSES,FZR1 wt Allele|CDH1,"Breast Cancer, Familial",0.0,Female Breast Cancer,Other,"FZR1 wt Allele|CDH1 Breast Cancer, Familial",Female Breast Cancer
PREDISPOSES,LINC00707 gene|LINC00707,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,LINC00707 gene|LINC00707 Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,FGFR1 wt Allele|FGFR1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,FGFR1 wt Allele|FGFR1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Abnormal metabolism,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Abnormal metabolism Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,aquaporin 7,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,aquaporin 7 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,COTL1 gene|COTL1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,COTL1 gene|COTL1 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,GPX3 gene|GPX3,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,GPX3 gene|GPX3 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Herbicides,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Herbicides Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,caspase-3|CASP3,Luminal B Breast Carcinoma,0.0,Female Breast Cancer,Other,caspase-3|CASP3 Luminal B Breast Carcinoma,Female Breast Cancer
PREDISPOSES,"SLC16A3 protein, human|SLC16A3",Invasive carcinoma of breast,0.0089910089910089,Female Breast Cancer,"Amino Acid, Peptide, or Protein","SLC16A3 protein, human|SLC16A3 Invasive carcinoma of breast",Female Breast Cancer
PREDISPOSES,Pivot,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Pivot Malignant neoplasm of breast,Female Breast Cancer
CAUSES,NME1 gene|NME1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,NME1 gene|NME1 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,erastin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,erastin Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Metastatic malignant neoplasm to brain,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Metastatic malignant neoplasm to brain Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Anti-Inflammatory Agents,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Chemical Viewed Functionally,Anti-Inflammatory Agents Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Tumor Progression,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Tumor Progression Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,TNIP2 gene|TNIP2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,TNIP2 gene|TNIP2 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,acetylglucosamine,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,acetylglucosamine Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Alternative Splicing,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",Alternative Splicing Breast Carcinoma,Female Breast Cancer
DISRUPTS,purpurin 18,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Other,purpurin 18 Triple Negative Breast Neoplasms,Female Breast Cancer
PREDISPOSES,hesperetin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,hesperetin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Geldanamycin Analogue,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Geldanamycin Analogue Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,XIST gene|XIST,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,XIST gene|XIST Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Flavonols,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Flavonols Malignant neoplasm of breast,Female Breast Cancer
CAUSES,ado-trastuzumab emtansine|DMPK|IGHD1-7,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Pharmacologic Substance,ado-trastuzumab emtansine|DMPK|IGHD1-7 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Dysbiosis,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Dysbiosis Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Therapeutic Effect,malignant neoplasm of breast staging,0.0,Female Breast Cancer,Other,Therapeutic Effect malignant neoplasm of breast staging,Female Breast Cancer
PREDISPOSES,Matrix Metalloproteinase 2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Matrix Metalloproteinase 2 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Fatty-acid synthase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Chemical,Fatty-acid synthase Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Mucin-1 Antigen,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Immunologic Factor,Mucin-1 Antigen Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,aspirin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,aspirin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,OIP5-AS1 gene|OIP5-AS1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,OIP5-AS1 gene|OIP5-AS1 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Hyperlipidemia,estrogen receptor-positive breast cancer,0.0089910089910089,Female Breast Cancer,Lipid,Hyperlipidemia estrogen receptor-positive breast cancer,Female Breast Cancer
AFFECTS,Sexual function,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Sexual function Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Diagnostic radiologic examination,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Diagnostic radiologic examination Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,CERNA2 gene|CERNA2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CERNA2 gene|CERNA2 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Diphosphonates,Early-Stage Breast Carcinoma,0.0,Female Breast Cancer,Other,Diphosphonates Early-Stage Breast Carcinoma,Female Breast Cancer
CAUSES,Viral Tumor Antigens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Viral Tumor Antigens Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,"RNA, Circular",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide","RNA, Circular Malignant neoplasm of breast",Female Breast Cancer
AFFECTS,Disease Progression,Noninfiltrating Intraductal Carcinoma,0.0109890109890109,Female Breast Cancer,"Element, Ion, or Isotope",Disease Progression Noninfiltrating Intraductal Carcinoma,Female Breast Cancer
DISRUPTS,CMTM5 gene|CMTM5,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CMTM5 gene|CMTM5 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,ethanol,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,ethanol Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,MIR22 wt Allele,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,MIR22 wt Allele Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Serum Proteins,HER2-positive carcinoma of breast,0.0089910089910089,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Serum Proteins HER2-positive carcinoma of breast,Female Breast Cancer
AFFECTS,arbutin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,arbutin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Diet high in saturated fats,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Diet high in saturated fats Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,MSH2 gene|MSH2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,MSH2 gene|MSH2 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,PCNAP1 gene|PCNAP1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,PCNAP1 gene|PCNAP1 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,aspirin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,aspirin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,FOSL1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,FOSL1 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,LINC00346 gene|LINC00346,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,LINC00346 gene|LINC00346 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Signaling Protein,HER2-positive carcinoma of breast,0.0089910089910089,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Signaling Protein HER2-positive carcinoma of breast,Female Breast Cancer
CAUSES,YTHDF1 gene|YTHDF1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,YTHDF1 gene|YTHDF1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,ANGPTL4 gene|ANGPTL4,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,ANGPTL4 gene|ANGPTL4 Triple Negative Breast Neoplasms,Female Breast Cancer
AFFECTS,Negative Regulation of Apoptosis,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Negative Regulation of Apoptosis Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,CD8A wt Allele|CD8A,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,CD8A wt Allele|CD8A Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Insulin-Like Growth Factor Binding Protein 5,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Insulin-Like Growth Factor Binding Protein 5 Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,sunitinib,Carcinoma breast stage IV,0.0,Female Breast Cancer,Other,sunitinib Carcinoma breast stage IV,Female Breast Cancer
DISRUPTS,brazilin,Carcinoma breast stage IV,0.0,Female Breast Cancer,Other,brazilin Carcinoma breast stage IV,Female Breast Cancer
PREDISPOSES,cyclooxygenase 2|PTGS2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",cyclooxygenase 2|PTGS2 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,RAD21 gene|RAD21,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Gene or Genome,RAD21 gene|RAD21 Breast Carcinoma,Female Breast Cancer
PREDISPOSES,DYRK2 gene|DYRK2,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,DYRK2 gene|DYRK2 Triple Negative Breast Neoplasms,Female Breast Cancer
PREDISPOSES,Interpretation:Impression/interpretation of study:Point in time:^Patient:Nominal,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Interpretation:Impression/interpretation of study:Point in time:^Patient:Nominal Malignant neoplasm of breast,Female Breast Cancer
CAUSES,prolactin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,prolactin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,leptin,Female Breast Carcinoma,0.0049950049950049,Female Breast Cancer,Other,leptin Female Breast Carcinoma,Female Breast Cancer
PREDISPOSES,TT genotype,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,TT genotype Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Water consumption,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Water consumption Malignant neoplasm of breast,Female Breast Cancer
CAUSES,estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,estrogens Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,Vitronectin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Vitronectin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Product containing glucagon-like peptide 1 receptor agonist (product),Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Product containing glucagon-like peptide 1 receptor agonist (product) Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,CYP27B1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,CYP27B1 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,MIR100HG gene|MIR100HG,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,MIR100HG gene|MIR100HG Triple Negative Breast Neoplasms,Female Breast Cancer
PREDISPOSES,diethylstilbestrol,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,diethylstilbestrol Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Biological Response Modifiers,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Biological Response Modifiers Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Sphingomyelins,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Sphingomyelins Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Infiltration,Invasive carcinoma of breast,0.0089910089910089,Female Breast Cancer,"Element, Ion, or Isotope",Infiltration Invasive carcinoma of breast,Female Breast Cancer
AUGMENTS,Thyroid Hormones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Thyroid Hormones Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,melatonin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,melatonin Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Acetylserotonin N-Methyltransferase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neuroreactive Substance or Biogenic Amine,Acetylserotonin N-Methyltransferase Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Sleeve,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Sleeve Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,MicroRNAs,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",MicroRNAs Triple Negative Breast Neoplasms,Female Breast Cancer
AFFECTS,Rheumatoid Arthritis,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Rheumatoid Arthritis Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,MicroRNA 205-5p,estrogen receptor-positive breast cancer,0.0089910089910089,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",MicroRNA 205-5p estrogen receptor-positive breast cancer,Female Breast Cancer
PREDISPOSES,Cyclin-Dependent Kinase Inhibitor p16|CDKN2A,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Cyclin-Dependent Kinase Inhibitor p16|CDKN2A Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,periodate-oxidized adenosine,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,periodate-oxidized adenosine Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,Nicotinamide Phosphoribosyltransferase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Nicotinamide Phosphoribosyltransferase Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Acidosis,Carcinoma breast stage IV,0.0,Female Breast Cancer,Chemical,Acidosis Carcinoma breast stage IV,Female Breast Cancer
AFFECTS,Intercellular adhesion molecule 1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Intercellular adhesion molecule 1 Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,KIF15 gene|KIF15,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,KIF15 gene|KIF15 Triple Negative Breast Neoplasms,Female Breast Cancer
DISRUPTS,Erythropoietin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Erythropoietin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,K-ras Oncogene|KRAS,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,K-ras Oncogene|KRAS Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Breast Imaging Reporting and Data System,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Breast Imaging Reporting and Data System Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,DNMT1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,DNMT1 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Diagnosis,Female Breast Carcinoma,0.0049950049950049,Female Breast Cancer,Other,Diagnosis Female Breast Carcinoma,Female Breast Cancer
AFFECTS,Circulating Tumor DNA,Carcinoma breast stage IV,0.0,Female Breast Cancer,Neoplastic Process,Circulating Tumor DNA Carcinoma breast stage IV,Female Breast Cancer
AFFECTS,ciclesonide,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,ciclesonide Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,cisplatin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,cisplatin Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,paclitaxel,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,paclitaxel Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,NRG1 gene|NRG1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,NRG1 gene|NRG1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Ryanodine Receptor 3|RYR3,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Ryanodine Receptor 3|RYR3 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,PPP2R2B gene|PPP2R2B,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,PPP2R2B gene|PPP2R2B Triple Negative Breast Neoplasms,Female Breast Cancer
PREDISPOSES,FN1 gene|FN1,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Gene or Genome,FN1 gene|FN1 Breast Carcinoma,Female Breast Cancer
PREDISPOSES,patient characteristics,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,patient characteristics Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Weight decreased,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Weight decreased Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,amygdalin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,amygdalin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,GPM6B gene|GPM6B,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Gene or Genome,GPM6B gene|GPM6B Breast Carcinoma,Female Breast Cancer
DISRUPTS,HHEX gene|HHEX,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,HHEX gene|HHEX Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Copy Number Polymorphism,"Breast Cancer, Familial",0.0,Female Breast Cancer,Other,"Copy Number Polymorphism Breast Cancer, Familial",Female Breast Cancer
DISRUPTS,SOY ISOFLAVONES,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,SOY ISOFLAVONES Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,verteporfin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,verteporfin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,High expression,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",High expression Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Apoptosis Inducing Proteins,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Apoptosis Inducing Proteins Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,BTF3 gene|BTF3,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,BTF3 gene|BTF3 Triple Negative Breast Neoplasms,Female Breast Cancer
AFFECTS,Metastatic malignant neoplasm to brain,Carcinoma breast stage IV,0.0,Female Breast Cancer,Neoplastic Process,Metastatic malignant neoplasm to brain Carcinoma breast stage IV,Female Breast Cancer
CAUSES,butein,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,butein Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,ST8SIA6-AS1 gene|ST8SIA6-AS1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,ST8SIA6-AS1 gene|ST8SIA6-AS1 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,si-wu-tang,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Other,si-wu-tang Triple Negative Breast Neoplasms,Female Breast Cancer
AUGMENTS,"ITK protein, human|ITK",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein","ITK protein, human|ITK Malignant neoplasm of breast",Female Breast Cancer
PREDISPOSES,A2M-AS1 gene|A2M-AS1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,A2M-AS1 gene|A2M-AS1 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Matrix Metalloproteinases,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Matrix Metalloproteinases Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Malignant Neoplasms,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Neoplastic Process,Malignant Neoplasms Breast Carcinoma,Female Breast Cancer
PREDISPOSES,MIR22HG gene|MIR22HG,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,MIR22HG gene|MIR22HG Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Bilateral mastectomy,Unilateral Breast Carcinoma,0.0,Female Breast Cancer,Other,Bilateral mastectomy Unilateral Breast Carcinoma,Female Breast Cancer
AFFECTS,CBR3-AS1 gene|CBR3-AS1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CBR3-AS1 gene|CBR3-AS1 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,27-hydroxycholesterol,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Lipid,27-hydroxycholesterol Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,paclitaxel,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Other,paclitaxel Triple Negative Breast Neoplasms,Female Breast Cancer
AFFECTS,Detection,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,"Element, Ion, or Isotope",Detection Breast Carcinoma,Female Breast Cancer
AUGMENTS,DSCAM-AS1 gene|DSCAM-AS1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,DSCAM-AS1 gene|DSCAM-AS1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,PGK1 gene|PGK1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,PGK1 gene|PGK1 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Neuropeptides,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Neuropeptides Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Tumor size,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Neoplastic Process,Tumor size Triple Negative Breast Neoplasms,Female Breast Cancer
DISRUPTS,EZH2 gene|EZH2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,EZH2 gene|EZH2 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Diphosphonates,Invasive carcinoma of breast,0.0089910089910089,Female Breast Cancer,Other,Diphosphonates Invasive carcinoma of breast,Female Breast Cancer
CAUSES,interleukin-10,Inflammatory Breast Carcinoma,0.0009990009990009,Female Breast Cancer,Other,interleukin-10 Inflammatory Breast Carcinoma,Female Breast Cancer
PREDISPOSES,"WFDC2 protein, human|WFDC2",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein","WFDC2 protein, human|WFDC2 Malignant neoplasm of breast",Female Breast Cancer
AFFECTS,Proliferation (morphologic abnormality),Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Proliferation (morphologic abnormality) Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,testosterone,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,testosterone Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,SMAD2 gene|SMAD2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,SMAD2 gene|SMAD2 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,IL6ST gene|IL6ST,Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,Gene or Genome,IL6ST gene|IL6ST Triple Negative Breast Neoplasms,Female Breast Cancer
AFFECTS,COVID-19,Early-Stage Breast Carcinoma,0.0,Female Breast Cancer,Other,COVID-19 Early-Stage Breast Carcinoma,Female Breast Cancer
DISRUPTS,TRIM6 gene|TRIM6,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,TRIM6 gene|TRIM6 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,"UBASH3A protein, human|UBASH3A",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein","UBASH3A protein, human|UBASH3A Malignant neoplasm of breast",Female Breast Cancer
PREDISPOSES,PALB2 gene|PALB2,Hereditary Breast and Ovarian Cancer Syndrome,0.0,Female Breast Cancer,Gene or Genome,PALB2 gene|PALB2 Hereditary Breast and Ovarian Cancer Syndrome,Female Breast Cancer
PREDISPOSES,"CD69 protein, human|CD69",Triple Negative Breast Neoplasms,0.0189810189810189,Female Breast Cancer,"Amino Acid, Peptide, or Protein","CD69 protein, human|CD69 Triple Negative Breast Neoplasms",Female Breast Cancer
