Breast Cancer Type 1 Susceptibility Protein Measurement,Contralateral breast cancer,Tubular breast cancer,stage IIIA breast cancer,Locally advanced breast cancer,stage IIIB breast cancer,breast cancer diagnosis,estrogen receptor-positive breast cancer,bilateral breast cancer,stage IA breast cancer,progesterone receptor-negative breast cancer,Suspected breast cancer,progesterone receptor-positive breast cancer,Mucinous breast cancer,Lumpectomy (breast cancer),"cellular diagnosis, breast cancer",Family history of breast cancer,HER2-negative breast cancer,contralateral breast cancer,Breast Cancer Model,breast cancer prevention,Breast Cancer Surveillance Consortium,hormone receptor/growth factor receptor-negative breast cancer,allogeneic GM-CSF-secreting breast cancer vaccine,Breast cancer metastatic,Invasive ductal breast cancer,estrogen receptor-negative breast cancer,"stage, breast cancer",Breast Cancer Radiotherapy,Breast cancer invasive NOS,Advanced breast cancer diagnosis
,Hormone Receptor,,,Pharmacotherapy,,Vitality,IMPACT gene,Operative Surgical Procedures,,,,,,,,,bevacizumab,,,Patient referral,,,,,Neoplasm,"Receptors, Cytoplasmic",Mica,,,
,Therapeutic procedure,,,"Mastectomy, Subcutaneous",,Carcinoma,Neoadjuvant Therapy,Pharmacotherapy,,,,,,,,,paclitaxel,,,Noninfiltrating Intraductal Carcinoma,,,,,beta catenin,PET/CT scan,Mica,,,
,Tamoxifen,,,Mastectomy,,Blood,Antineoplastic Agents,Woman,,,,,,,,,carboplatin,,,Raloxifene,,,,,Immunohistochemistry,Body tissue,Axilla,,,
,HIGH SENSITIVITY,,,Adjuvant Radiation Therapy,,Kidney Calculi,Hormone Therapy,Radiation therapy,,,,,,,,,bevacizumab,,,Woman,,,,,Malignant neoplasm of breast,Body tissue,Axillary Lymph Node Dissection,,,
,Disease,,,Combination Drug Therapy,,Risk Assessment,Adjuvant Therapy,TP53 gene|TP53,,,,,,,,,Combined Modality Therapy,,,Tamoxifen,,,,,CTNND1|IGSF1|NOP2|RASA1|BRD8|NSUN5,Cerebrovascular accident,Screening mammography,,,
,Woman,,,"Hyperthermia, Local",,Physical function,First line treatment,Malignant neoplasm of breast,,,,,,,,,carboplatin,,,Woman,,,,,Mammary Gland Parenchyma,Breast-Conserving Surgery,Disease,,,
,Aromatase Inhibitors,,,Adjuvant Radiation Therapy,,Woman,Immunologic Adjuvants,Amenorrhea,,,,,,,,,Adverse event,,,Therapeutic procedure,,,,,E-Cadherin,Breast-Conserving Surgery,Pregnancy,,,
,"Radiotherapy, Intensity-Modulated",,,tumor removal,,follow-up,tamoxifen,Malignant neoplasm of breast,,,,,,,,,Carcinoma breast stage IV,,,Immunologic Adjuvants,,,,,Magnetic Resonance Imaging,estrogen receptor-positive breast cancer,fluorodeoxyglucose positron emission tomography,,,
,Cholesterol,,,"Hyperthermia, Local",,Ovarian Carcinoma,Neoadjuvant Therapy,Breast surgery,,,,,,,,,epirubicin,,,Selective Estrogen Receptor Modulators,,,,,pigment epithelium-derived factor,"Receptors, Cytoplasmic",Ultrasonography,,,
,Aromatase Inhibitors,,,"Radiotherapy, Intensity-Modulated",,Diagnosis,IGFBP7|SFPQ,Upper arm,,,,,,,,,cyclophosphamide,,,Placebos,,,,,E-Cadherin,Possible,Axilla,,,
,Breast radiotherapies,,,Neoadjuvant Chemotherapy,,Triple test,BCL2 gene|BCL2,Endocrine therapy,,,,,,,,,olaparib,,,Pharmaceutical Preparations,,,,,Ceramide glucosyltransferase,Tumor Microenvironment,Fine needle aspiration biopsy,,,
,Ovary,,,Neoadjuvant Chemotherapy,,Ovaro-,Hypersensitivity,Malignant neoplasm of breast,,,,,,,,,bevacizumab,,,Malignant neoplasm of breast,,,,,Apolipoprotein A-I|APOA1,Malignant neoplasm of thyroid,Cells,,,
,Radiation therapy,,,Woman,,Alternative Therapies,IMPACT gene,Breast-Conserving Surgery,,,,,,,,,Neoadjuvant Chemotherapy,,,Woman,,,,,Ceramide glucosyltransferase,Endocrine System Diseases,African American,,,
,Tamoxifen,,,Hypofractionated radiation therapy,,Hormone replacement therapy,Aromasin,Malignant neoplasm of breast,,,,,,,,,bevacizumab,,,Elderly,,,,,Body tissue,Tumor Suppressor Genes,Fine needle aspiration biopsy,,,
,Tamoxifen,,,Hypofractionated radiation therapy,,Gamma Cameras,Polysaccharides,Malignant neoplasm of breast,,,,,,,,,carboplatin,,,Tamoxifen,,,,,inhibitors,glycine,Malignant neoplasm of breast,,,
,AR gene|AR,,,Hypofractionated radiation therapy,,Gamma Cameras,Hormone Therapy,Breast surgery,,,,,,,,,paclitaxel,,,Therapeutic procedure,,,,,"Tissue, Paraffin",GJA1 gene|GJA1,Vitamin A,,,
,anastrozole,,,Tomotherapy,,Prevention,Hormone Therapy,Puncture biopsy,,,,,,,,,Cytotoxic Chemotherapy,,,Therapeutic procedure,,,,,Pharmacotherapy,"ORF74 protein, Human herpesvirus 8",Radionuclide Imaging,,,
,BRCA1 gene|BRCA1,,,Neoadjuvant Chemotherapy,,Radiation therapy,palbociclib,Breast-Conserving Surgery,,,,,,,,,Neoadjuvant Therapy,,,Tamoxifen,,,,,Primary Neoplasm,"ORF74 protein, Human herpesvirus 8",Ultrasonography,,,
,Mastectomy,,,Hypofractionated radiation therapy,,Study models,Therapeutic regimen,Ovarian Carcinoma,,,,,,,,,Neoadjuvant Therapy,,,Tamoxifen,,,,,radical mastectomy,Malignant neoplasm of breast,STK11 gene|STK11,,,
,Aromatase Inhibitors,,,Neoadjuvant Chemotherapy,,Mammography,Neoadjuvant Therapy,Body tissue,,,,,,,,,Blindness,,,Woman,,,,,Tissue specimen,"ORF74 protein, Human herpesvirus 8",Fine needle aspiration biopsy,,,
,Mastectomy,,,Neoadjuvant Chemotherapy,,follow-up,fulvestrant,ERBB2|NEU1|NEURL1,,,,,,,,,"herstatin protein, human",,,Clinical Research,,,,,Pharmacotherapy,,Urine protein,,,
,Pulmonary toxicity,,,Chemotherapy Regimen,,Assay,IGFBP7|SFPQ,Malignant neoplasm of breast,,,,,,,,,130-nm albumin-bound paclitaxel,,,Breast cancer metastatic,,,,,Proto-Oncogene Proteins c-jun|JUN,,receptor for advanced glycation endproducts,,,
,Malignant neoplasm of breast,,,PET/CT scan,,Malignant neoplasm of breast,Functional assessment,Mammary Neoplasms,,,,,,,,,erbB-2 Receptor|ERBB2,,,Individual,,,,,Protein p53|TP53,,Immunologic Adjuvants,,,
,Tamoxifen,,,"Radiotherapy, Adjuvant",,Malignant neoplasm of breast,Neoadjuvant Therapy,Malignant neoplasm of breast,,,,,,,,,Positron-Emission Tomography,,,Woman,,,,,Operative Surgical Procedures,,Magnetic Resonance Imaging,,,
,anastrozole,,,Neoadjuvant Chemotherapy,,Cessation of life,Body tissue,Diffuse Scleroderma,,,,,,,,,pembrolizumab,,,Breast cancer metastatic,,,,,ERBB2|NEU1|NEURL1,,Ultrasonography,,,
,Operative Surgical Procedures,,,First line treatment,,Clinic,NF-kappa B,Tamoxifen,,,,,,,,,Neoadjuvant Chemotherapy,,,case control,,,,,tissue processing,,Malignant neoplasm of breast,,,
,Patients,,,Neoadjuvant Chemotherapy,,Early,Magnetic Resonance Imaging,Malignant neoplasm of breast,,,,,,,,,talazoparib,,,celecoxib,,,,,Tissue specimen,,Sentinel Lymph Node Biopsy,,,
,Magnetic Resonance Imaging,,,External Beam Radiation Therapy,,"Leukemia, Myelocytic, Acute",Hormone Therapy,Malignant neoplasm of breast,,,,,,,,,pembrolizumab,,,Raloxifene,,,,,Local excision,,Magnetic Resonance Imaging,,,
,Radiation therapy,,,Neoadjuvant Chemotherapy,,Mammography,PIK3CB wt Allele|PIK3CA|PIK3CB|PIK3CD|PIK3CG,Diethylstilbestrol,,,,,,,,,Chemotherapy Regimen,,,Tamoxifen,,,,,Radiation therapy,,Magnetic Resonance Imaging,,,
,Radiation therapy,,,Paraneoplastic encephalitis,,Operative Surgical Procedures,NF-kappa B,Graves' Disease,,,,,,,,,Hypersensitivity,,,Advanced cancer,,,,,beta catenin,,Sentinel Lymph Node Biopsy,,,
,Malignant neoplasm of breast,,,Patients,,Malignant Neoplasms,DNA,Neoplasm,,,,,,,,,ruxolitinib,,,Risk Assessment,,,,,CTNNB1 Gene Mutation,,Bilateral salpingectomy with oophorectomy,,,
,CHEK2 gene|CHEK2,,,cyclophosphamide,,Core needle biopsy,CARM1 gene|CARM1,ATM gene|ATM,,,,,,,,,130-nm albumin-bound paclitaxel,,,Aromatase Inhibitors,,,,,beta catenin,,Tumor Markers,,,
,CHEK2 gene|CHEK2,,,Mastectomy,,Magnetic Resonance Imaging,Biopsy,Operative Surgical Procedures,,,,,,,,,Neoadjuvant Chemotherapy,,,Ovarian Carcinoma,,,,,arginyl-glycyl-aspartic acid,,Axillary Lymph Node Dissection,,,
,Tamoxifen,,,zoledronic acid,,Woman,IMPACT gene,Patients,,,,,,,,,bevacizumab,,,Chemopreventive Agent,,,,,Cyclin D1|CCND1,,Malignant Neoplasms,,,
,XCL1 gene|XCL1,,,Therapeutic regimen,,Woman,DDX39A,Germ-Line Mutation,,,,,,,,,Hormone Therapy,,,"Drugs, Non-Prescription",,,,,receptor expression,,Dissection,,,
,Tamoxifen,,,Zoledronic acid therapy,,Mammography,Kinome,Lesion,,,,,,,,,eribulin,,,research,,,,,CYCLOPHOSPHAMIDE TREATMENT,,Chest CT,,,
,ATM gene|ATM,,,Patients,,Woman,CXXC5 gene|CXXC5,Fixation of pendulous breast,,,,,,,,,Neoadjuvant Chemotherapy,,,Precancerous lesions,,,,,Body tissue,,IGF1 gene|IGF1,,,
,ERBB2|NEU1|NEURL1,,,Neoadjuvant Chemotherapy,,Genetic screening method,PIK3CB wt Allele|PIK3CA|PIK3CB|PIK3CD|PIK3CG,Operative Surgical Procedures,,,,,,,,,paclitaxel,,,Clinical Research,,,,,Neoplasm Metastasis,,Magnetic Resonance Imaging,,,
,ERBB2|NEU1|NEURL1,,,trastuzumab,,Falls,BCL2 gene|BCL2,Paclitaxel,,,,,,,,,130-nm albumin-bound paclitaxel,,,Malignant neoplasm of breast,,,,,Secondary malignant neoplasm of lymph node,,Biopsy,,,
,ERBB2|NEU1|NEURL1,,,Neoadjuvant Chemotherapy,,Malignant Neoplasms,Breast-Conserving Surgery,Reduction mammaplasty,,,,,,,,,paclitaxel,,,Aromatase Inhibitors,,,,,Secondary malignant neoplasm of lymph node,,gene polymorphism,,,
,Aromatase Inhibitors,,,Neoadjuvant Chemotherapy,,Diagnosis,Hypersensitivity,Operative Surgical Procedures,,,,,,,,,eribulin,,,Procedures,,,,,Tissue specimen,,Ultrasonography,,,
,Magnetic Resonance Imaging,,,fluorouracil,,Mammography,CDK6-associated protein p18,Pharmacotherapy,,,,,,,,,docetaxel,,,Tamoxifen,,,,,Tissue specimen,,Valine,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Machine Learning,IMPACT gene,Congenital Abnormality,,,,,,,,,erbB-2 Receptor|ERBB2,,,Assessment procedure,,,,,Antigen assay,,gene polymorphism,,,
,Tamoxifen,,,Systemic Therapy,,Mammography,estrogens,Operative Surgical Procedures,,,,,,,,,Pharmacotherapy,,,Intervention regimes,,,,,survivin,,Screening mammography,,,
,Population Group,,,erbB-2 Receptor,,HIV Infections,Magnetic Resonance Imaging,Lesion,,,,,,,,,talazoparib,,,Pharmacologic Substance,,,,,survivin,,CD151,,,
,Aromatase Inhibitors,,,cyclophosphamide,,Contrast Media,IGFBP7|SFPQ,Malignant Neoplasms,,,,,,,,,Pharmacotherapy,,,Tamoxifen,,,,,Body tissue,,DBT,,,
,letrozole,,,trastuzumab,,Local Therapy,Kinome,Neoplasm Metastasis,,,,,,,,,Pharmacotherapy,,,Diet,,,,,ERBB2,,Breast,,,
,exemestane,,,Neoadjuvant Chemotherapy,,Malignant neoplasm of breast,cisplatin,Paclitaxel,,,,,,,,,vinorelbine,,,exemestane,,,,,Body tissue,,inhibitors,,,
,anastrozole,,,Operation on breast,,Medical Imaging,cyclin-dependent kinase 6,Entire left thigh,,,,,,,,,bevacizumab,,,Placebos,,,,,Paraffin,,"SLC25A4 protein, human|SLC25A4",,,
,Mastectomy,,,Extraction,,Mammography,letrozole,Malignant neoplasm of breast,,,,,,,,,apatinib,,,"Mastectomy, Subcutaneous",,,,,Cisplatin,,Edema,,,
,Mastectomy,,,erbB-2 Receptor|ERBB2,,"Contraceptives, Oral",Androgen Receptor,Nipples,,,,,,,,,lapatinib,,,Disease,,,,,Breast-Conserving Surgery,,Patients,,,
,"Radiotherapy, Adjuvant",,,Pharmacotherapy,,Supplementation,quercetin,DNA,,,,,,,,,durvalumab,,,Therapeutic Effect,,,,,Noninfiltrating Intraductal Carcinoma,,survivin,,,
,BRCA1 gene|BRCA1,,,trastuzumab,,Spectrum Analysis,bisphenol A,Dermatomyositis,,,,,,,,,Prophylactic treatment,,,Retinoids,,,,,Breast-Conserving Surgery,,survivin,,,
,Malignant neoplasm of breast,,,lapatinib,,Chest,STAT3 gene|STAT3,Esophagectomy,,,,,,,,,Secondary malignant neoplasm of female breast,,,Bilateral mastectomy,,,,,ERBB2 gene|ERBB2,,Albumins,,,
,Estrogen Antagonists,,,Neoadjuvant Chemotherapy,,"Contraceptives, Oral",Disease Progression,Genetic screening method,,,,,,,,,Neoadjuvant Chemotherapy,,,Clinical Research,,,,,Ceramide glucosyltransferase,,MIRN106A gene|MIR106A,,,
,Hormone Receptor,,,Adriamycin,,Hodgkin Disease,Assay,Operative Surgical Procedures,,,,,,,,,Combined Modality Therapy,,,Clinical Research,,,,,Ceramide glucosyltransferase,,Patients,,,
,Inflammatory Breast Carcinoma,,,fluorouracil,,Molecular Probes,RUNX1,Malignant neoplasm of breast,,,,,,,,,paclitaxel,,,"Clinical Trials, Phase III",,,,,Pharmacotherapy,,FOXP3,,,
,Fenretinide,,,Treatment Protocols,,Fluorescence Spectroscopy,Mandibular left second molar abutment,Combined Modality Therapy,,,,,,,,,olaparib,,,Screening procedure,,,,,Pharmacotherapy,,CD8B1 gene|CD8B,,,
,ATM gene|ATM,,,doxorubicin,,Specialty Group,Polysaccharides,Needle biopsy procedure,,,,,,,,,Pharmacotherapy,,,celecoxib,,,,,Regular exercise,,"Chemotherapy, Adjuvant",,,
,Disease,,,lapatinib,,tomography,fulvestrant,Prognostic Factor,,,,,,,,,apatinib,,,Therapeutic procedure,,,,,ADA,,CD8B1 gene|CD8B,,,
,Ethanol,,,Ultrasonography,,Government hospital,Tamoxifen therapy,Breast,,,,,,,,,Genetic screening method,,,BRCA1 Mutation,,,,,Operative Surgical Procedures,,Immunologic Adjuvants,,,
,Neoplasm,,,Neoadjuvant Chemotherapy,,Biopsy,Estrogen Receptor alpha,Malignant Neoplasms,,,,,,,,,Neoadjuvant Chemotherapy,,,Individual,,,,,Breast Diseases,,Cytostatic Agents,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Inflammatory Response,Polysaccharides,Organ,,,,,,,,,Neoadjuvant Chemotherapy,,,Vitamin D,,,,,Mammography,,Autoimmunity,,,
,Alcohol consumption,,,Neoadjuvant Radiotherapy,,Intervention regimes,Adjuvant Therapy,Operative Surgical Procedures,,,,,,,,,Challenge:Type:Point in time:^Patient:Nominal,,,Woman,,,,,Malignant neoplasm of breast,,RANTES|CCL5,,,
,Magnetic Resonance Imaging,,,Neoadjuvant Chemotherapy,,"Diabetes Mellitus, Non-Insulin-Dependent",Current Therapy,Left breast,,,,,,,,,paclitaxel,,,High Risk Populations,,,,,Metric,,Imaging Techniques,,,
,Cigarette Smoking,,,Neoadjuvant Chemotherapy,,Medical Imaging,Secondary Neoplasm,Core needle biopsy,,,,,,,,,Immunologic Adjuvants,,,Aromatase Inhibitors,,,,,Paget's Disease,,Micronutrients,,,
,Mastectomy,,,Post-mastectomy radiotherapy,,Positron-Emission Tomography,tamoxifen,K-ras Oncogene|KRAS,,,,,,,,,Bevacizumab/Paclitaxel,,,Phytoestrogens,,,,,CDKN2A gene|CDKN2A,,Neoplasm,,,
,Maternal history,,,Systemic Therapy,,Mammography,Mandibular left second molar abutment,Ultrasonography,,,,,,,,,docetaxel,,,Selective Estrogen Receptor Modulators,,,,,E-Cadherin,,,,,
,Diphosphonates,,,Neoadjuvant Chemotherapy,,Specialty Group,"RNA, Long Untranslated",Mammography,,,,,,,,,Bevacizumab Regimen,,,Raloxifene,,,,,Tamoxifen,,,,,
,Reproductive History,,,Neoadjuvant Chemotherapy,,tomography,tamoxifen,Neoplasm,,,,,,,,,Neoadjuvant Chemotherapy,,,lapatinib,,,,,SATB1,,,,,
,Woman,,,Neoadjuvant Chemotherapy,,Ultrasonography,Body tissue,Common Neoplasm,,,,,,,,,Neoadjuvant Chemotherapy,,,Chemopreventive Agent,,,,,Patients,,,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Mammography,Aromatase,letrozole,,,,,,,,,Tumor Progression,,,Food,,,,,Ceramide glucosyltransferase,,,,,
,Woman,,,TIGIT gene|TIGIT,,Magnetic Resonance Imaging,Pharmacotherapy,"Radiotherapy, Intensity-Modulated",,,,,,,,,"Chemotherapy, Adjuvant",,,Tamoxifen,,,,,maspin|SERPINB5,,,,,
,4-chlorophenyl methyl sulfide,,,Neoadjuvant Chemotherapy,,Probes,STAT3 gene|STAT3,Therapeutic procedure,,,,,,,,,Neoadjuvant Chemotherapy,,,Woman,,,,,Twist Transcription Factor,,,,,
,Mastectomy,,,Carcinoma breast stage IV,,Malignant neoplasm of breast,Therapeutic procedure,Therapeutic procedure,,,,,,,,,Hormone Therapy,,,exemestane,,,,,Polymerase Chain Reaction,,,,,
,Magnetic Resonance Imaging,,,"lymphocyte-activation gene 3 protein, human",,Cancer Treatment,NR2F1-AS1 gene|NR2F1-AS1,Synchronous Bilateral Breast Carcinoma,,,,,,,,,cyclophosphamide,,,Caloric Restriction,,,,,TWIST1 gene|TWIST1,,,,,
,Mastectomy,,,Mastectomy,,Breast cancer invasive NOS,anastrozole,"Carcinoma, Lobular",,,,,,,,,docetaxel,,,Caloric Restriction,,,,,Breast-Conserving Surgery,,,,,
,Mastectomy,,,Pharmacotherapy,,Mass Fragmentography,tamoxifen,Chromosomal Instability,,,,,,,,,Pharmacotherapy,,,exemestane,,,,,Immunohistochemistry,,,,,
,Magnetic Resonance Imaging,,,BARRIER,,Fine needle aspiration biopsy,LINC00160 gene|LINC00160,Therapeutic procedure,,,,,,,,,AKT1 gene|AKT1,,,Pharmaceutical Preparations,,,,,ezrin,,,,,
,Mastectomy,,,Neoadjuvant Chemotherapy,,Radionuclide Imaging,Cyclin-Dependent Kinase Inhibitor Proteins,Malignant Neoplasms,,,,,,,,,Neoadjuvant Chemotherapy,,,Woman,,,,,ezrin,,,,,
,Tamoxifen,,,Excision of axillary lymph nodes group,,Magnetic Resonance Spectroscopy,"RNA, Long Untranslated",Radiation therapy,,,,,,,,,bevacizumab,,,Dietary Modification,,,,,E-Cadherin,,,,,
,Ovariectomy,,,BARRIER,,Toxic effect,Immunologic Adjuvants,Mastectomy,,,,,,,,,Pharmacotherapy,,,Diphosphonates,,,,,E-Cadherin,,,,,
,"Anti-Inflammatory Agents, Non-Steroidal",,,"Receptors, Immunologic",,Biosensors,letrozole,Excision,,,,,,,,,lapatinib,,,Intervention regimes,,,,,Cadherins,,,,,
,Non-Aspirin,,,Mucin-1 Antigen,,Academic Medical Centers,Malignant neoplasm of breast,Bilateral mastectomy,,,,,,,,,Pharmacotherapy,,,Woman,,,,,Neoplasm,,,,,
,Tamoxifen,,,HAVCR2 gene|HAVCR2,,Malignant neoplasm of breast,Hormone Therapy,Radiation therapy,,,,,,,,,epirubicin,,,Woman,,,,,Immunohistochemistry,,,,,
,Tamoxifen,,,Granulocyte Colony-Stimulating Factor|CSF2|LAMC2,,"Diabetes Mellitus, Non-Insulin-Dependent",Neoadjuvant Therapy,Biopsy,,,,,,,,,bendamustine,,,Population Group,,,,,Carcinogenesis,,,,,
,Tamoxifen,,,HAVCR2 gene|HAVCR2,,Excision,Genes,Operative Surgical Procedures,,,,,,,,,eribulin,,,epigallocatechin gallate,,,,,Noninfiltrating Intraductal Carcinoma,,,,,
,Compete,,,Body tissue,,Study models,Neoadjuvant Therapy,Axillary Lymph Node Dissection,,,,,,,,,Neoadjuvant Therapy,,,Treatment Protocols,,,,,"Tomography, Emission-Computed",,,,,
,Malignant neoplasm of breast,,,TIGIT gene|TIGIT,,Immunohistochemistry,MIR143 gene|MIR143,Pharmacotherapy,,,,,,,,,capecitabine,,,Raloxifene,,,,,Operative Surgical Procedures,,,,,
,Woman,,,"lymphocyte-activation gene 3 protein, human",,"Diagnosis, Computer-Assisted",tamoxifen,BRCA1 gene|BRCA1,,,,,,,,,paclitaxel,,,research,,,,,"Tomography, Emission-Computed",,,,,
,Radiation therapy,,,Neoadjuvant Chemotherapy,,Therapeutic procedure,Estrogen Receptor alpha,Pharmacotherapy,,,,,,,,,Pharmacotherapy,,,Raloxifene,,,,,Metric,,,,,
,Fenretinide,,,Parametric Image,,Functional Imaging,"RNA, Messenger",Pharmacotherapy,,,,,,,,,bevacizumab,,,Tamoxifen,,,,,Breast cancer invasive NOS,,,,,
,Patients,,,Transarterial Chemoembolization,,Malignant neoplasm of breast,tamoxifen,BRCA1 Mutation,,,,,,,,,AKT Inhibitor,,,Ovariectomy,,,,,Breast cancer invasive NOS,,,,,
,Therapeutic procedure,,,Non-Steroidal Aromatase Inhibitor,,adjuvant therapy,Neoadjuvant Therapy,CHEK2 gene|CHEK2,,,,,,,,,Pharmacotherapy,,,Tamoxifen,,,,,Hormone Receptor,,,,,
,Patients,,,Responsive Disease,,Diagnosis,Therapeutic procedure,PALB2,,,,,,,,,Pharmacotherapy,,,Menopausal symptom,,,,,Mucinous breast cancer,,,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Carrier of disorder,inhibitors,bevacizumab,,,,,,,,,Pharmacotherapy,,,Population Group,,,,,Hormone Receptor,,,,,
,"Blood Count, Complete",,,Neoadjuvant Chemotherapy,,Energy Balance,tamoxifen,TP53 gene|TP53,,,,,,,,,eribulin,,,Woman,,,,,Malignant neoplasm of breast,,,,,
,Patients,,,Neoadjuvant Chemotherapy,,Woman,tamoxifen,Patients,,,,,,,,,Pharmacotherapy,,,Tamoxifen,,,,,Mammary Gland Parenchyma,,,,,
,Woman,,,letrozole,,Supplementation,Recurrent tumor,Female Breast Carcinoma,,,,,,,,,paclitaxel,,,Vaccines,,,,,Noninfiltrating Intraductal Carcinoma,,,,,
,Disease,,,exemestane,,Antisense RNA,tamoxifen,Breast,,,,,,,,,Neoadjuvant Chemotherapy,,,Woman,,,,,Noninfiltrating Intraductal Carcinoma,,,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,"Diagnosis, Computer-Assisted",Neoadjuvant Therapy,CFC1 gene|CFC1,,,,,,,,,Neoadjuvant Chemotherapy,,,Selective Estrogen Receptor Modulators,,,,,DNA,,,,,
,Malignant neoplasm of breast,,,Operative Surgical Procedures,,Diagnosis,Pharmacotherapy,comparative genomic analysis,,,,,,,,,sunitinib,,,"Clinical Trials, Phase III",,,,,Noninfiltrating Intraductal Carcinoma,,,,,
,Patients,,,PET/CT scan,,Ovarian Stimulation,Pharmacotherapy,Keloid,,,,,,,,,Combination Drug Therapy,,,advanced disease,,,,,Breast Cancer Model,,,,,
,Mastectomy,,,Combined Modality Therapy,,Contrast Media,tamoxifen,Operative Surgical Procedures,,,,,,,,,paclitaxel,,,dietary intervention,,,,,,,,,,
,Tamoxifen,,,neoplasm regression,,Health System,inhibitors,Ovaro-,,,,,,,,,fulvestrant,,,Carrier of disorder,,,,,,,,,,
,Pharmacotherapy,,,Systemic Therapy,,Image Processing,"4-hydroxy-N-desmethyltamoxifen, (Z)-isomer",Radiation therapy,,,,,,,,,Pharmacotherapy,,,Clinical Research,,,,,,,,,,
,adjuvant therapy,,,Hypofractionated radiation therapy,,Therapeutic procedure,Hormone Therapy,Infiltrating duct carcinoma,,,,,,,,,HER2-positive carcinoma of breast,,,Malignant Neoplasms,,,,,,,,,,
,Radiation therapy,,,Hypofractionated radiation therapy,,radiologist,Recurrent tumor,Malignant neoplasm of breast,,,,,,,,,MKI67 gene|MKI67,,,Neoplasm,,,,,,,,,,
,Therapeutic procedure,,,Neoadjuvant Chemotherapy,,Medical Imaging,Estrogen Antagonists,Population Group,,,,,,,,,Neoadjuvant Chemotherapy,,,Cathepsins B,,,,,,,,,,
,Asians,,,Neoadjuvant Chemotherapy,,Malignant neoplasm of breast,MKI67 gene|MKI67,Pharmacotherapy,,,,,,,,,Treatment Protocols,,,Estrogen Antagonists,,,,,,,,,,
,Population Group,,,Mammaplasty,,breast implant procedure,Malignant neoplasm of breast,Combined Modality Therapy,,,,,,,,,Inhibitor,,,Woman,,,,,,,,,,
,Upper arm,,,Hypofractionated radiation therapy,,Ultrasonography,letrozole,Breast,,,,,,,,,palbociclib,,,adjuvant therapy,,,,,,,,,,
,Pharmacotherapy,,,"herstatin protein, human",,Aggressive behavior,ribociclib,Progestins,,,,,,,,,Pharmacotherapy,,,Woman,,,,,,,,,,
,Pharmacotherapy,,,Pharmacotherapy,,Specialty Group,Pharmacotherapy,Boards,,,,,,,,,taxane,,,Gonadotropin-Releasing Hormone Analog,,,,,,,,,,
,Tamoxifen,,,post surgery radiation therapy,,Digital mammography,Pharmacotherapy,Estrogens,,,,,,,,,opium alkaloids and derivative combination cough suppressants,,,Carcinogenicity,,,,,,,,,,
,Breast cancer invasive NOS,,,Volumetric-Modulated Arc Therapy,,Cessation of life,Organoids,Radiation therapy,,,,,,,,,Immunologic Adjuvants,,,research,,,,,,,,,,
,Magnetic Resonance Imaging,,,Hypofractionated radiation therapy,,Fine needle aspiration biopsy,Pharmacotherapy,Neoplasm,,,,,,,,,Pharmacotherapy,,,Woman,,,,,,,,,,
,Woman,,,Conventional Treatment,,Excision biopsy,Hormone Therapy,Malignant neoplasm of breast,,,,,,,,,inhibitors,,,Estrogen Antagonists,,,,,,,,,,
,Malignant Neoplasms,,,PDCD1 gene|PDCD1,,Diagnostic radiologic examination,Pharmacotherapy,Therapeutic procedure,,,,,,,,,Histone deacetylase inhibitor|HDAC9,,,"Fatty Acids, Omega-3",,,,,,,,,,
,Tamoxifen,,,Neoadjuvant Chemotherapy,,Bone Density,"AGR3 protein, human|AGR3",Drainage procedure,,,,,,,,,Patients,,,Soy Milk,,,,,,,,,,
,Mammography,,,Pharmacotherapy,,Malignant Neoplasms,Neoadjuvant Therapy,Radiation therapy,,,,,,,,,HER2-positive carcinoma of breast,,,Woman,,,,,,,,,,
,Woman,,,Neoadjuvant Chemotherapy,,Estrogen Replacement Therapy,Pharmaceutical Preparations,TP53 gene|TP53,,,,,,,,,Phosphatidylinositide 3-Kinase Inhibitor,,,Malignant neoplasm of breast,,,,,,,,,,
,Patients,,,post surgery radiation therapy,,Patients,arctigenin,ERBB2 gene|ERBB2,,,,,,,,,First line treatment,,,Human Chorionic Gonadotropin,,,,,,,,,,
,Mammography,,,Antibodies,,Neoplasm,Systemic Therapy,Radiation therapy,,,,,,,,,AKT Inhibitor,,,Selective Estrogen Receptor Modulators,,,,,,,,,,
,Mammography,,,doxorubicin,,Lesion,Hormone Therapy,Malignant neoplasm of breast,,,,,,,,,Hypersensitivity,,,Human,,,,,,,,,,
,Mammography,,,cyclophosphamide,,Lesion,Biological Response Modifiers,Disease,,,,,,,,,Patients,,,Therapeutic procedure,,,,,,,,,,
,Therapeutic procedure,,,Patients,,Menopause,letrozole,Hodgkin Disease,,,,,,,,,Copy Number Polymorphism,,,Estrogen Antagonists,,,,,,,,,,
,Woman,,,130-nm albumin-bound paclitaxel,,Therapeutic procedure,Genome,Mastectomy,,,,,,,,,Oncologists,,,Treatment Protocols,,,,,,,,,,
